Subject,Scale Label,Player 1:Player 2,Scale Length,Ratio 0,Ratio 1,Ratio 2,Ratio 3,Ratio 4,Ratio 5,Ratio 6,Ratio 7,Ratio 8,Ratio 9,Ratio 10,Ratio 11,SwitchPoint 0,SwitchPoint 1,SwitchPoint 2,SwitchPoint 3,SwitchPoint 4,SwitchPoint 5,SwitchPoint 6,SwitchPoint 7,SwitchPoint 8,SwitchPoint 9,SwitchPoint 10,SwitchPoint 11,SwitchPoint 12,WTR,# Avgd SPs,Avgd SPs,# Inconsistent,Consistency,WTRerror,Scale Label,Player 1:Player 2,Scale Length,Ratio 0,Ratio 1,Ratio 2,Ratio 3,Ratio 4,Ratio 5,Ratio 6,Ratio 7,Ratio 8,Ratio 9,Ratio 10,Ratio 11,SwitchPoint 0,SwitchPoint 1,SwitchPoint 2,SwitchPoint 3,SwitchPoint 4,SwitchPoint 5,SwitchPoint 6,SwitchPoint 7,SwitchPoint 8,SwitchPoint 9,SwitchPoint 10,SwitchPoint 11,SwitchPoint 12,WTR,# Avgd SPs,Avgd SPs,# Inconsistent,Consistency,WTRerror,Scale Label,Player 1:Player 2,Scale Length,Ratio 0,Ratio 1,Ratio 2,Ratio 3,Ratio 4,Ratio 5,Ratio 6,Ratio 7,Ratio 8,Ratio 9,Ratio 10,Ratio 11,SwitchPoint 0,SwitchPoint 1,SwitchPoint 2,SwitchPoint 3,SwitchPoint 4,SwitchPoint 5,SwitchPoint 6,SwitchPoint 7,SwitchPoint 8,SwitchPoint 9,SwitchPoint 10,SwitchPoint 11,SwitchPoint 12,WTR,# Avgd SPs,Avgd SPs,# Inconsistent,Consistency,WTRerror
4004,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.13846153846153847,2,0.17692307692307693;0.,2,0.8333333333333334,0.05384615384615385,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,1,0.9166666666666666,0.0,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,2,0.8333333333333334,0.6142857142857143
7001,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,6,0.5,5.514285714285714,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.13846153846153847,2,0.17692307692307693;0.,4,0.6666666666666666,3.776923076923077,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.55,1,0.5,5,0.5833333333333334,4.196153846153846
7002,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,4,0.6666666666666666,2.5,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,3,0.75,1.5142857142857142,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,1,0.9166666666666666,0.0
7003,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,2,0.8333333333333334,0.5,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,1,0.9166666666666666,0.0,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,1,0.9166666666666666,0.0
7005,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,6,0.5,6.3,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,6,0.5,6.014285714285714,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,5,0.5833333333333334,5.4
7006,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.17692307692307693,1,0.1769230769230769,4,0.6666666666666666,5.892307692307693,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,5,0.5833333333333334,3.247619047619047,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,1.9000000000000001,2,2.2;1.,6,0.5,6.3128205128205135
7007,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2.2,1,2.,5,0.5833333333333334,6.3318681318681325,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,4,0.6666666666666666,2.0142857142857142,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.41691086691086693,3,0.6571428571428571;0.41666666666666663;0.1769230769230769,4,0.6666666666666666,3.166178266178266
7008,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,5,0.5833333333333334,4.333333333333334,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,3,0.75,2.3333333333333335,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,4,0.6666666666666666,4.1000000000000005
7010,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,1,0.9166666666666666,0.0,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,1,0.9166666666666666,0.0,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,0.1,1,0.,2,0.8333333333333334,0.9
7011,Friend,Child:Friend,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2.2,1,2.,5,0.5833333333333334,6.6,Enemy,Child:Enemy,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2.2,1,2.,4,0.6666666666666666,4.185714285714286,Stranger,Child:Stranger,12,2.2,1.8,1.4,1.2,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.2,0.15384615384615385,0.1,2.2,2.0,1.6,1.2999999999999998,1.1,0.8571428571428572,0.6571428571428571,0.55,0.41666666666666663,0.26666666666666666,0.17692307692307693,0.12692307692307692,0.1,2.2,1,2.,2,0.8333333333333334,0.8000000000000003
